feature,importance,cum_importance
center_mass_velocity_y,0.07573401117010709,0.07573401117010709
nose_y,0.06185737674512773,0.13759138791523481
person_height,0.0456331200966405,0.18322450801187531
nose_z,0.03698988698775189,0.2202143949996272
left_hip_y,0.036912919337359205,0.2571273143369864
left_knee_x,0.03576541513975359,0.29289272947673994
right_knee_visibility,0.032354553678622236,0.32524728315536217
right_ankle_visibility,0.030508526010844157,0.3557558091662063
left_ankle_visibility,0.030402385586700487,0.3861581947529068
right_hip_z,0.02997257018323635,0.41613076493614315
left_hip_z,0.02921530741923923,0.44534607235538237
left_wrist_y,0.02806042617770059,0.473406498533083
right_wrist_visibility,0.027683907090371863,0.5010904056234549
right_wrist_y,0.02612812857227213,0.527218534195727
right_knee_x,0.02547211873497533,0.5526906529307023
left_shoulder_x,0.025016025616590453,0.5777066785472927
left_knee_z,0.024342933303094512,0.6020496118503873
nose_visibility,0.023794930765199188,0.6258445426155865
left_hip_visibility,0.023536779122535885,0.6493813217381225
left_shoulder_z,0.02343025145659001,0.6728115731947125
right_knee_angle,0.023310586635147096,0.6961221598298596
left_wrist_visibility,0.0229659605985781,0.7190881204284377
nose_x,0.022087760808706017,0.7411758812371437
right_shoulder_x,0.021211818430449707,0.7623876996675935
right_wrist_x,0.02059688421636902,0.7829845838839625
right_knee_z,0.02011972884249871,0.8031043127264612
left_shoulder_visibility,0.02003110132319303,0.8231354140496543
left_knee_visibility,0.018441274624078775,0.841576688673733
left_ankle_z,0.018001866988206647,0.8595785556619396
left_knee_angle,0.017692812536754306,0.8772713681986939
center_mass_x,0.01761815102621785,0.8948895192249118
right_shoulder_z,0.017595437555790006,0.9124849567807017
right_ankle_z,0.01618018899237676,0.9286651457730785
left_wrist_z,0.015767770764045685,0.9444329165371241
right_wrist_z,0.014027457015950574,0.9584603735530747
body_orientation,0.011524763375875687,0.9699851369289504
trunk_lateral_inclination,0.010137031523243408,0.9801221684521938
center_mass_velocity_x,0.009867007326070884,0.9899891757782647
torso_leg_ratio,0.004623289884261436,0.9946124656625261
center_mass_acceleration_y,0.0032548371769989693,0.9978673028395251
center_mass_acceleration_x,0.002132697160474685,0.9999999999999998
