metric,Original_Model,Reduced_Model
Accuracy,0.9990345160511707,0.9927623642943305
F1 Macro,0.9991056022844249,0.9932827839723053
F1 Weighted,0.9990350791012553,0.9927642936266571
Balanced Accuracy,0.9991830950966115,0.9934889444611514
MCC,0.9987868172703916,0.9909010952707455
N Features,41,31.0
Model Size (KB),4410.322265625,8630.0478515625
Training Time (s),N/A,4.14432692527771
