model,accuracy,precision,recall,f1-score
RandomForest,0.9951749095295537,0.9952897926359928,0.9951749095295537,0.9951887283380377
SVM,0.991556091676719,0.9915992305600337,0.991556091676719,0.9915560017851435
XGBoost,0.9927623642943305,0.992907785948051,0.9927623642943305,0.9927740592734428
