,precision,recall,f1-score,support
0,0.9936305732484076,1.0,0.9968051118210862,156.0
1,1.0,1.0,1.0,124.0
2,1.0,0.9945652173913043,0.997275204359673,184.0
3,0.99,0.9850746268656716,0.9875311720698254,201.0
4,0.9818181818181818,0.9878048780487805,0.9848024316109423,164.0
accuracy,0.9927623642943305,0.9927623642943305,0.9927623642943305,0.9927623642943305
macro avg,0.9930897510133179,0.9934889444611514,0.9932827839723053,829.0
weighted avg,0.9927799170626458,0.9927623642943305,0.9927642936266571,829.0
