feature,importance_mean,importance_std
center_mass_velocity_y,0.04035722906106688,0.003477417999218341
nose_y,0.008544532947139749,0.0009298267093535101
right_ankle_visibility,0.0004586048756939354,0.00012998225457722497
right_knee_visibility,0.0004586048756939354,0.00016895969104513409
left_ankle_visibility,0.00043446777697320194,0.00014482259232440065
person_height,0.0004103306782524685,0.00038994676373167497
left_hip_visibility,0.00038619357953173505,0.00022122016388876551
nose_visibility,0.00038619357953173505,0.0002461510747570705
left_wrist_visibility,0.00031378228336953473,0.0001545528418400377
left_hip_y,0.00026550808592806785,0.00022770893391398686
left_knee_angle,0.00026550808592806785,0.00020049780021525374
right_wrist_y,0.0002413709872073344,0.0
right_knee_x,0.00021723388848660097,0.00016895969104513409
left_wrist_y,0.00019309678976586753,0.00018062550744744828
nose_z,0.00019309678976586753,0.00018062550744744825
left_knee_x,0.00014482259232440065,0.00011824715147396306
right_wrist_visibility,0.00014482259232440065,0.00011824715147396307
nose_x,0.0001206854936036672,0.0001945995111826802
center_mass_x,9.654839488293376e-05,0.00016010739996888027
right_knee_angle,7.241129616220032e-05,0.0001545528418400377
right_wrist_x,7.241129616220032e-05,0.00011061008194438276
left_ankle_z,7.241129616220032e-05,0.00011061008194438277
left_shoulder_x,7.241129616220032e-05,0.0001545528418400377
left_knee_z,2.413709872073344e-05,0.00020049780021525376
left_knee_visibility,2.413709872073344e-05,7.241129616220032e-05
right_hip_z,2.413709872073344e-05,0.00016895969104513409
right_knee_z,-7.241129616220032e-05,0.0001885167674609353
left_shoulder_z,-9.654839488293376e-05,0.0001601073999688803
left_hip_z,-0.00014482259232440065,0.00019309678976586755
left_shoulder_visibility,-0.00016895969104513409,0.00021723388848660097
right_shoulder_x,-0.00021723388848660097,7.241129616220032e-05
