model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,balanced_accuracy,mcc,cohen_kappa
original,0.9951749095295537,0.9952380952380953,0.9959279688513952,0.9955416429192214,0.9952897926359928,0.9951749095295537,0.9951887283380377,0.9959279688513952,0.9939560409856164,0.9939323741507428
reduced,0.9927623642943305,0.9930897510133179,0.9934889444611514,0.9932827839723053,0.9927799170626458,0.9927623642943305,0.9927642936266571,0.9934889444611514,0.9909010952707455,0.9908974619400813
