,precision,recall,f1-score,support
0,1.0,1.0,1.0,156.0
1,1.0,1.0,1.0,124.0
2,1.0,0.9945652173913043,0.997275204359673,184.0
3,1.0,0.9850746268656716,0.9924812030075187,201.0
4,0.9761904761904762,1.0,0.9879518072289156,164.0
accuracy,0.9951749095295537,0.9951749095295537,0.9951749095295537,0.9951749095295537
macro avg,0.9952380952380953,0.9959279688513952,0.9955416429192214,829.0
weighted avg,0.9952897926359928,0.9951749095295537,0.9951887283380377,829.0
